exp_id,mode,seed,t_CAV_test,t_HDV_test,t_system_test,t_CAV_training,t_CAV_training_first_250,t_CAV_training_final_250,benchmark_t_CAV,benchmark_t_HDV_test,benchmark_t_test,benchmark_CAV_advantage,benchmark_cost_of_learning
eta_iql_ing2_dynamic_s40,dynamic,40,4.232453703703703,4.492352657004831,4.38839307568438,4.373621376811594,4.657148148148147,4.240880998389693,4.232395652173915,4.492318679549113,4.3883494685990305,1.0614127432159353,1.871768115942029
eta_iql_ing2_static_s40,static,40,4.228706521739131,4.496306494900697,4.38926650563607,4.371335829307568,4.656806441223833,4.238367793880838,4.228651449275365,4.496284541062801,4.389231304347824,1.0632904118482736,1.8797004830917872
eta_iql_ing2_dynamic_s41,dynamic,41,4.389198872785829,4.435624261943102,4.417054106280194,4.519869283413848,4.800025925925926,4.390031400966183,4.389206280193238,4.435613687600643,4.417050724637681,1.0105730750493145,1.9337874396135264
eta_iql_ing2_static_s41,static,41,4.375865136876007,4.443449543746645,4.416415780998389,4.516973631239936,4.794538808373591,4.386238647342995,4.375924154589374,4.443450885668277,4.416440193236715,1.0154314217279297,1.9338357487922708
eta_iql_ing2_dynamic_s42,dynamic,42,4.320115539452496,4.504837627482556,4.430948792270533,4.458833132045089,4.725952334943639,4.334434299516908,4.3201797101449255,4.504872624798713,4.4309954589372005,1.042751211071169,1.8647729468599032
eta_iql_ing2_static_s42,static,42,4.331897342995168,4.510664787976382,4.439157809983897,4.459384339774558,4.7242991948470205,4.333148309178744,4.331922946859903,4.5107173913043495,4.439199613526572,1.041273689915018,1.878
